error_count,complexity_score,past_score,cognitive_state,rule_id,label_source,rater
6,20,71,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,2,85,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
5,9,63,High Cognitive Load,R5,rubric,cognitive_rubric.v1
1,11,61,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,8,100,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,9,84,High Cognitive Load,R5,rubric,cognitive_rubric.v1
2,7,15,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,5,63,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,6,48,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,10,53,High Cognitive Load,R4,rubric,cognitive_rubric.v1
6,13,32,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
4,18,56,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,11,68,High Cognitive Load,R4,rubric,cognitive_rubric.v1
4,20,67,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,3,47,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
5,11,52,Needs Simple Basics,R2,rubric_coverage_topup,cognitive_rubric.v1
1,2,48,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,8,39,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,2,63,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
6,15,54,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
4,7,62,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
1,4,59,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,4,26,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
5,2,50,Needs Simple Basics,R2,rubric_coverage_topup,cognitive_rubric.v1
1,4,49,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,6,58,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,5,84,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,9,54,High Cognitive Load,R6,rubric,cognitive_rubric.v1
5,14,53,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
1,11,73,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,5,61,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,6,52,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,8,61,High Cognitive Load,R5,rubric,cognitive_rubric.v1
4,7,77,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
1,3,90,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,6,68,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,3,60,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,3,30,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,4,66,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
7,12,43,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
1,2,28,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
4,7,79,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
3,6,85,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,14,24,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,9,17,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,5,88,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,13,59,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
2,14,67,High Cognitive Load,R7,rubric,cognitive_rubric.v1
4,6,80,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,14,82,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,1,24,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
4,2,75,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
3,5,8,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,13,31,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
4,7,85,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
2,3,64,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,12,37,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,8,73,High Cognitive Load,R6,rubric,cognitive_rubric.v1
1,7,43,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,14,76,High Cognitive Load,R4,rubric,cognitive_rubric.v1
4,12,54,High Cognitive Load,R4,rubric,cognitive_rubric.v1
1,7,90,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,17,49,High Cognitive Load,R4,rubric,cognitive_rubric.v1
4,8,72,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
2,5,39,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
5,20,38,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
4,7,56,High Cognitive Load,R6,rubric,cognitive_rubric.v1
4,16,28,High Cognitive Load,R4,rubric,cognitive_rubric.v1
2,2,43,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,3,66,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,2,47,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,2,92,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,4,46,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,7,84,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,12,37,High Cognitive Load,R7,rubric,cognitive_rubric.v1
2,13,52,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,2,71,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,2,85,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,4,54,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,3,66,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,5,67,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,7,71,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
6,17,50,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
5,2,76,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,3,52,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,9,43,High Cognitive Load,R6,rubric,cognitive_rubric.v1
3,3,37,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,10,100,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,3,71,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,4,55,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,1,63,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,1,75,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,20,70,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,9,42,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,8,67,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
1,5,44,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,1,76,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,10,86,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,6,53,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
4,2,59,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
6,1,45,Needs Simple Basics,R2,rubric_coverage_topup,cognitive_rubric.v1
1,10,56,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,13,46,High Cognitive Load,R7,rubric,cognitive_rubric.v1
2,8,52,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,4,45,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,3,78,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,2,57,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
1,4,54,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,5,52,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
3,3,36,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,9,52,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,12,54,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,1,58,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,7,63,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
1,9,60,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,8,62,High Cognitive Load,R6,rubric,cognitive_rubric.v1
1,9,67,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,8,70,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
3,3,100,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,4,56,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,18,42,High Cognitive Load,R7,rubric,cognitive_rubric.v1
1,12,60,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,1,82,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,8,99,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,8,49,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,4,89,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,17,68,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
3,4,21,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,5,54,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,9,27,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,1,46,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
2,3,68,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,4,35,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,12,59,High Cognitive Load,R4,rubric,cognitive_rubric.v1
2,4,75,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,7,24,High Cognitive Load,R6,rubric,cognitive_rubric.v1
1,1,61,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,7,27,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,12,68,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,4,57,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,7,65,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,8,20,High Cognitive Load,R6,rubric,cognitive_rubric.v1
1,3,76,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,4,37,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,12,57,High Cognitive Load,R7,rubric,cognitive_rubric.v1
4,7,67,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
2,3,19,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,3,52,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
5,15,32,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
3,20,65,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,3,53,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,3,45,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,3,51,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,3,25,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,2,36,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,6,83,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,7,84,High Cognitive Load,R6,rubric,cognitive_rubric.v1
1,13,49,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
2,3,78,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,12,31,High Cognitive Load,R7,rubric,cognitive_rubric.v1
1,3,77,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
6,13,45,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
3,7,21,High Cognitive Load,R6,rubric,cognitive_rubric.v1
3,2,37,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,9,59,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
3,16,61,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,6,36,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,3,40,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,4,42,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,10,15,High Cognitive Load,R4,rubric,cognitive_rubric.v1
3,4,66,Needs Simple Basics,R3,rubric,cognitive_rubric.v1
2,3,12,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,6,82,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,2,76,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,6,67,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,2,36,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,9,51,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,4,40,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,3,42,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,7,72,High Cognitive Load,R6,rubric,cognitive_rubric.v1
2,5,53,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
2,9,56,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,8,68,High Cognitive Load,R5,rubric_coverage_topup,cognitive_rubric.v1
2,2,82,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,2,64,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,12,83,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
4,5,11,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
1,15,52,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
5,20,31,Needs Simple Basics,R2,rubric,cognitive_rubric.v1
2,17,73,High Cognitive Load,R7,rubric_coverage_topup,cognitive_rubric.v1
1,1,78,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,6,40,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
2,9,72,Minor Syntax Error,R8,rubric,cognitive_rubric.v1
1,3,33,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
3,8,59,High Cognitive Load,R6,rubric,cognitive_rubric.v1
3,7,32,High Cognitive Load,R6,rubric,cognitive_rubric.v1
2,2,44,Needs Simple Basics,R1,rubric,cognitive_rubric.v1
